DATE,OPEN,HIGH,LOW,CLOSE,VOL,Return_%,True_Range,Avg_Daily_Vol,Trading_Days
1996-10-04,68.78,70.34,68.44,70.34,2844000.0,2.27,1.9,568800.0,5
1996-10-11,70.31,70.69,69.38,70.31,3081000.0,0.0,1.31,616200.0,5
1996-10-18,70.31,71.31,69.94,71.22,3058000.0,1.29,1.37,611600.0,5
1996-10-25,71.28,71.63,70.13,70.31,3411000.0,-1.36,1.5,682200.0,5
1996-11-01,70.38,71.16,69.7,70.59,3833000.0,0.3,1.46,766600.0,5
1996-11-08,70.69,73.44,70.53,73.42,6864000.0,3.86,2.91,1372800.0,5
1996-11-15,73.25,74.5,73.02,74.03,4717000.0,1.06,1.48,943400.0,5
1996-11-22,74.17,75.25,73.73,75.17,4848000.0,1.35,1.52,969600.0,5
1996-11-29,75.25,76.69,75.08,76.02,6972000.0,1.02,1.61,1743000.0,4
1996-12-06,75.92,76.58,72.66,74.31,10700000.0,-2.12,3.92,2140000.0,5
1996-12-13,74.69,75.67,72.41,73.31,9200000.0,-1.85,3.26,1840000.0,5
1996-12-20,73.5,75.72,71.88,74.84,9300000.0,1.82,3.84,1860000.0,5
1996-12-27,75.09,76.03,74.33,75.88,3743000.0,1.05,1.7,935750.0,4
1997-01-03,76.13,76.13,72.75,75.09,6194000.0,-1.37,3.38,1548500.0,4
1997-01-10,75.09,76.25,74.13,76.13,7939000.0,1.39,2.12,1587800.0,5
1997-01-17,76.5,77.75,75.64,77.56,8000000.0,1.39,2.11,1600000.0,5
1997-01-24,77.75,79.69,76.75,76.75,10700000.0,-1.29,2.94,2140000.0,5
1997-01-31,76.88,79.41,76.0,78.41,12900000.0,1.99,3.41,2580000.0,5
1997-02-07,78.72,79.47,77.13,79.22,8509000.0,0.64,2.34,1701800.0,5
1997-02-14,79.25,81.56,78.13,81.19,8300000.0,2.45,3.43,1660000.0,5
1997-02-21,81.34,82.0,80.14,80.38,4481000.0,-1.18,1.86,1120250.0,4
1997-02-28,79.97,81.53,79.06,79.16,8887000.0,-1.01,2.47,1777400.0,5
1997-03-07,78.75,81.16,78.69,80.84,7400000.0,2.65,2.47,1480000.0,5
1997-03-14,80.94,81.8,79.06,79.69,6925000.0,-1.54,2.74,1385000.0,5
1997-03-21,79.25,80.11,77.88,78.44,10500000.0,-1.02,2.23,2100000.0,5
1997-03-28,78.5,79.97,76.16,77.0,8400000.0,-1.91,3.81,2100000.0,4
1997-04-04,76.91,77.13,74.16,75.84,16200000.0,-1.39,2.97,3240000.0,5
1997-04-11,76.19,77.05,73.38,73.38,13100000.0,-3.69,3.67,2620000.0,5
1997-04-18,73.73,77.0,73.31,76.56,12200000.0,3.84,3.69,2440000.0,5
1997-04-25,76.75,78.28,75.47,76.53,12300000.0,-0.29,2.81,2460000.0,5
1997-05-02,76.5,81.67,76.38,81.44,11800000.0,6.46,5.29,2360000.0,5
1997-05-09,81.66,83.56,81.19,82.63,13100000.0,1.19,2.37,2620000.0,5
1997-05-16,82.94,84.59,82.88,83.22,9184000.0,0.34,1.71,1836800.0,5
1997-05-23,83.31,85.22,82.75,84.78,5952000.0,1.76,2.47,1190400.0,5
1997-05-30,84.38,85.56,83.13,85.16,5617000.0,0.92,2.43,1404250.0,4
1997-06-06,85.34,86.44,84.08,86.38,6900000.0,1.22,2.36,1380000.0,5
1997-06-13,86.44,90.0,86.34,89.72,11100000.0,3.79,3.66,2220000.0,5
1997-06-20,89.75,90.5,88.94,89.58,8200000.0,-0.19,1.56,1640000.0,5
